epoch,l_wl,l_cong,l_dh,l_ds,loss,proxy,w_wl,w_dh,w_ds,w_cong,delta_proxy,adapt_step
234,0.052417472,1.421820045,0.5861449242,0,1.056399941,,1,0.5,0,0.5,,
235,0.05241901428,1.421582937,0.5858841538,0,1.056152582,,1,0.5,0,0.5,,
236,0.05242055655,1.421380043,0.5856157541,0,1.055918455,,1,0.5,0,0.5,,
237,0.05242200568,1.421372294,0.5853284001,0,1.055772305,,1,0.5,0,0.5,,
238,0.05242343992,1.421131134,0.5850775838,0,1.055527806,,1,0.5,0,0.5,,
[surrogate_vs_proxy] epoch=239 sur_raw(wl,dh,cong)=(0.0524262,0.584511,1.42064) px_raw(wl,den,cong)=(0.0648784,0.584511,1.19034) pv=0.952302 sur_n=1.0019/0.7199/0.9314 px_n=1.0125/0.7199/1.0481 gap_n(sur-px)=-0.0106/+0.0000/-0.1167 max_abs_gap=congestion(0.1167)
239,0.05242485926,1.420876503,0.5847862959,0,1.055256248,0.9523020834,1,0.5,0,0.5,,
240,0.05242624134,1.420644045,0.5845109224,0,1.055003762,,1,0.5,0,0.5,,
241,0.0524277091,1.422052979,0.5842458606,0,1.055577159,,1,0.5,0,0.5,,
242,0.05242932588,1.420323253,0.5840033889,0,1.054592609,,1,0.5,0,0.5,,
243,0.05243094638,1.420042276,0.5837174058,0,1.054310799,,1,0.5,0,0.5,,
244,0.05243247747,1.419869184,0.5834587812,0,1.05409646,,1,0.5,0,0.5,,
245,0.05243414268,1.419631004,0.5832028985,0,1.053851128,,1,0.5,0,0.5,,
246,0.05243593082,1.419902921,0.5829304457,0,1.053852558,,1,0.5,0,0.5,,
247,0.05243767425,1.419660926,0.5826576948,0,1.053596973,,1,0.5,0,0.5,,
248,0.05243946612,1.419428229,0.5823907852,0,1.053349018,,1,0.5,0,0.5,,
249,0.05244113505,1.420216441,0.5821450949,0,1.053621888,,1,0.5,0,0.5,,
250,0.05244286358,1.419916511,0.5819025636,0,1.053352356,,1,0.5,0,0.5,,
251,0.05244455487,1.419681668,0.5816648006,0,1.053117752,,1,0.5,0,0.5,,
252,0.05244633928,1.419473052,0.58140558,0,1.052885652,,1,0.5,0,0.5,,
253,0.05244806781,1.419260144,0.5811733007,0,1.052664757,,1,0.5,0,0.5,,
254,0.05244984478,1.419068098,0.5809291005,0,1.052448511,,1,0.5,0,0.5,,
255,0.05245160311,1.420817971,0.5806571245,0,1.053189158,,1,0.5,0,0.5,,
256,0.05245327577,1.42059195,0.5804015398,0,1.052950025,,1,0.5,0,0.5,,
